issue_area,topic,term,type,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Iran,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Iranian,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Middle East,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Gulf,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Strait of Hormuz,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Red Sea,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Gulf Cooperation Council,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,GCC,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Hormuz,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,UAE,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Dubai,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Qatar,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Israel,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Persian,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Persia,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Geographic References,Islamic Revolutionary Guard,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,conflict,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,war,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,geopolitical,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,geopolitical risk,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,geopolitical uncertainty,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,geopolitical instability,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,military,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,hostilities,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,escalation,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,de-escalation,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,regime change,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,airspace closure,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,missile,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Conflict & Military Language,escalating tensions,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,sanctions,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,OFAC,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,export controls,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,export restrictions,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,compliance,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,sanctions exposure,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,sanctioned entities,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,IEEPA,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,snapback,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,embargo,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,dual-use,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,denied parties,pattern,,,,,,,,,,,,,,,,,,,,,,
