issue_area,issue_subtopic,topic,term,type
Climate Change & Sustainability,Climate Change,Climate Change,climate change,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#climatechange,pattern
Climate Change & Sustainability,Climate Change,Climate Change,sustainability,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#sustainability,pattern
Climate Change & Sustainability,Climate Change,Climate Change,carbon offsets,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#carbon offsets,pattern
Climate Change & Sustainability,Climate Change,Climate Change,ESG,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#ESG,pattern
Climate Change & Sustainability,Climate Change,Climate Change,anti-ESG,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#anti-ESG,pattern
Climate Change & Sustainability,Climate Change,Climate Change,anti ESG,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#antiESG,pattern
Climate Change & Sustainability,Climate Change,Climate Change,fudiciary duty,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#fudiciaryduty,pattern
Climate Change & Sustainability,Climate Change,Climate Change,divestment,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#divestment,pattern
Climate Change & Sustainability,Climate Change,Climate Change,net zero,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#netzero,pattern
Climate Change & Sustainability,Climate Change,Climate Change,carbon neutral,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#carbon neutral,pattern
Climate Change & Sustainability,Climate Change,Climate Change,carbon emissions,pattern
Climate Change & Sustainability,Climate Change,Climate Change,#carbonemissions,pattern
Climate Change & Sustainability,Climate Change,Climate Change,CSDDD,pattern
Climate Change & Sustainability,Climate Change,Climate Change,CSD3,pattern
Climate Change & Sustainability,Climate Change,Climate Change,EUDR,pattern
Climate Change & Sustainability,Climate Change,Climate Change,EU climate reporting,pattern
Climate Change & Sustainability,Climate Change,Climate Change,nuclear energy,pattern
Climate Change & Sustainability,Climate Change,Climate Change,offshore drilling,pattern
Climate Change & Sustainability,Climate Change,Climate Change,surgery,exclusionary term
Climate Change & Sustainability,Climate Change,Climate Change,#surgery,exclusionary term
Climate Change & Sustainability,Energy Sources,Energy Sources,clean energy,pattern
Climate Change & Sustainability,Energy Sources,Energy Sources,#cleanenergy,pattern
Climate Change & Sustainability,Energy Sources,Energy Sources,fossil fuels,pattern
Climate Change & Sustainability,Energy Sources,Energy Sources,fossil fuel,pattern
Climate Change & Sustainability,Energy Sources,Energy Sources,#fossilfuel,pattern
Climate Change & Sustainability,Energy Sources,Energy Sources,big oil,pattern
Climate Change & Sustainability,Energy Sources,Energy Sources,#big oil,pattern
Climate Change & Sustainability,ESG,ESG,ESG,pattern
Climate Change & Sustainability,ESG,ESG,#ESG,pattern
Climate Change & Sustainability,ESG,ESG,esg,pattern
Climate Change & Sustainability,ESG,ESG,#esg,pattern
Climate Change & Sustainability,ESG,ESG,anti-ESG,pattern
Climate Change & Sustainability,ESG,ESG,#anti-ESG,pattern
Climate Change & Sustainability,ESG,ESG,climate AND woke,pattern
Climate Change & Sustainability,ESG,ESG,antiESG,pattern
Climate Change & Sustainability,ESG,ESG,#antiESG,pattern
Climate Change & Sustainability,ESG,ESG,CSDDD,pattern
Climate Change & Sustainability,ESG,ESG,#CSDDD,pattern
Climate Change & Sustainability,ESG,ESG,SEC Climate,pattern
Climate Change & Sustainability,ESG,ESG,#SECClimate,pattern
Climate Change & Sustainability,ESG,ESG,sustainability disclosure,pattern
Climate Change & Sustainability,ESG,ESG,#sustainabilitydisclosure,pattern
Climate Change & Sustainability,Natural Disasters,Natural Disasters,natural disaster,pattern
Climate Change & Sustainability,Natural Disasters,Natural Disasters,#naturaldisaster,pattern
Climate Change & Sustainability,Natural Disasters,Natural Disasters,natural disasters,pattern
